model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5527,0.6099,0.407,643,0.4152,0.0029,-0.053,1.8356,0.045,-2.6499,0.057,6.5
XGBoost,0.5366,0.6027,0.3889,653,0.4074,0.0022,-0.053,1.4504,0.035,-2.0816,0.044,6.7
LSTM,0.52,0.5911,0.3599,519,0.395,0.0019,-0.053,0.9983,0.031,-3.1941,0.038,8.3
RandomForest,0.5408,0.6036,0.3913,617,0.3938,-0.0009,-0.053,-0.5411,-0.014,-3.9757,-0.018,5.9
GradBoost,0.5382,0.5926,0.3637,650,0.3831,-0.0015,-0.053,-1.0013,-0.025,-4.4625,-0.031,6.4
