rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,VIC,RealEstate,2026-08-28,236000,0.6449,0.6847,0.6654,0.5043,0.5536,0.8163617,254880,224200,25,68.74390524925002,True,1.4321175350720696
2,PDR,RealEstate,2026-08-28,12400,0.5929,0.5145,0.6059,0.5093,0.51,0.8247385,13392,11780,25,49.07123129201475,False,0.6076405509365971
3,KDH,RealEstate,2026-08-28,18200,0.5892,0.5138,0.6041,0.5134,0.5748,0.7400789,19656,17290,25,48.835201774702846,False,0.8386696883787153
4,PNJ,Retail/Consumer,2026-08-28,42100,0.5719,0.6388,0.6173,0.5079,0.4271,0.6686166,45468,39995,25,57.03393400475438,False,0.6482899928068531
5,VRE,RealEstate,2026-08-28,26100,0.5656,0.5845,0.5269,0.4025,0.439,0.8750623,28188,24795,25,58.66236230343558,True,1.4382037571619446
6,GVR,Materials,2026-08-28,32350,0.539,0.5324,0.551,0.396,0.4293,0.7865431,34938,30732,25,57.597467904760876,True,0.8160748505536622
7,GAS,Energy,2026-08-28,84200,0.5336,0.5999,0.5596,0.4331,0.4658,0.6097351,90936,79990,25,63.67162748705999,True,0.9284624830157489
8,DGC,Materials,2026-08-28,43000,0.5322,0.5314,0.5445,0.4096,0.4572,0.7182271,46440,40850,25,50.57728817248374,False,2.612300549065851
9,PLX,Energy,2026-08-28,36250,0.5271,0.5565,0.5568,0.464,0.4711,0.587189,39150,34438,25,51.36250913963467,True,1.2423204689892136
10,CTG,Bank,2026-08-28,31950,0.5,0.4699,0.4758,0.3468,0.3562,0.8513221,34506,30352,25,52.96902534942093,True,1.0253879362882128
11,BID,Bank,2026-08-28,36850,0.4903,0.4862,0.4784,0.3437,0.351,0.7922246,39798,35008,25,56.01670971949582,True,0.8179528029921426
12,VCI,Securities,2026-08-28,22850,0.4868,0.5378,0.4987,0.3408,0.323,0.7338456,24678,21708,25,59.51005315278245,True,1.2218641123623781
13,VHM,RealEstate,2026-08-28,73000,0.4861,0.5508,0.5424,0.4184,0.4369,0.48178953,78840,69350,25,53.69151134282106,True,0.6354570975015496
14,FPT,Technology,2026-08-28,73200,0.4851,0.53,0.4914,0.3432,0.3593,0.7017419,79056,69540,25,62.12434162384054,True,1.6560653344149858
15,MBB,Bank,2026-08-28,21050,0.4734,0.491,0.4822,0.3077,0.308,0.77817154,22734,19998,25,65.86217846504522,True,0.6785666426203186
16,VND,Securities,2026-08-28,16650,0.4729,0.5106,0.491,0.3516,0.3777,0.63364756,17982,15817,25,49.09926973689471,False,1.1106634360100551
17,MWG,Retail/Consumer,2026-08-28,75000,0.4687,0.4738,0.4834,0.3139,0.3079,0.76458836,81000,71250,25,55.42577441379854,True,0.8579631628050773
18,DXG,RealEstate,2026-08-28,12100,0.4507,0.5428,0.5361,0.3485,0.363,0.4633434,13068,11495,25,62.10261223578805,True,0.6530245863233952
19,SSI,Securities,2026-08-28,21350,0.4484,0.5396,0.5107,0.3352,0.301,0.555462,23058,20282,25,62.862133006578055,True,0.9531777547733402
20,DPM,Materials,2026-08-28,22000,0.4405,0.4788,0.4787,0.353,0.3824,0.50979143,23760,20900,25,50.848157476533615,True,0.6260361168072545
21,HDB,Bank,2026-08-28,27800,0.4393,0.4705,0.4853,0.324,0.321,0.5957083,30024,26410,25,62.43818869015321,True,0.8460487995206444
22,FRT,Retail/Consumer,2026-08-28,145900,0.4342,0.5074,0.5048,0.3356,0.2725,0.5504799,157572,138605,25,63.66512015160569,True,0.3169176970542806
23,VCB,Bank,2026-08-28,60100,0.4272,0.4912,0.4851,0.35,0.3696,0.4402078,64908,57095,25,58.2926599960317,True,0.7750258918807417
24,VPB,Bank,2026-08-28,27800,0.4161,0.5519,0.5027,0.2876,0.3063,0.4320458,30024,26410,25,71.22633760812317,True,1.8164220669010103
25,STB,Bank,2026-08-28,75500,0.4093,0.5037,0.4908,0.3612,0.3595,0.3310755,81540,71725,25,58.339581689703024,True,2.768882223330902
26,TCB,Bank,2026-08-28,33400,0.4092,0.5004,0.5124,0.3477,0.3507,0.33474472,36072,31730,25,63.28802952233753,True,1.5351618869901587
27,NLG,RealEstate,2026-08-28,24300,0.409,0.5319,0.5167,0.3611,0.3607,0.27482694,26244,23085,25,58.23330685672088,True,0.4743050435838501
