model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5482,0.6057,0.4078,662,0.4199,0.0036,-0.053,2.3819,0.057,-2.6499,0.072,6.6
XGBoost,0.5338,0.599,0.391,669,0.4141,0.0032,-0.053,2.1304,0.05,-2.1346,0.064,6.8
RandomForest,0.5379,0.5997,0.3927,636,0.4025,0.0004,-0.053,0.2597,0.006,-4.0817,0.008,6.0
GradBoost,0.5362,0.5895,0.3673,667,0.3913,-0.0003,-0.053,-0.2232,-0.005,-4.4385,-0.007,6.5
LSTM,0.5178,0.5868,0.3606,538,0.3773,-0.0003,-0.053,-0.1462,-0.004,-3.7144,-0.005,8.1
