model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5539,0.6105,0.4067,641,0.415,0.0028,-0.053,1.8116,0.045,-2.6499,0.057,6.5
XGBoost,0.5376,0.6033,0.3889,652,0.408,0.0023,-0.053,1.5034,0.036,-2.0816,0.046,6.7
LSTM,0.5201,0.5915,0.3592,518,0.3958,0.002,-0.053,1.0513,0.033,-3.0641,0.041,8.4
RandomForest,0.5419,0.6044,0.3917,614,0.3958,-0.0006,-0.053,-0.3821,-0.01,-3.9008,-0.012,5.9
GradBoost,0.5393,0.5931,0.3633,647,0.3833,-0.0015,-0.053,-0.9723,-0.024,-4.4095,-0.03,6.4
