model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5546,0.6107,0.407,640,0.4141,0.0027,-0.053,1.7346,0.043,-2.6499,0.054,6.5
XGBoost,0.5383,0.6036,0.3892,650,0.4062,0.0021,-0.053,1.3494,0.033,-2.0816,0.042,6.7
LSTM,0.5198,0.5913,0.3583,513,0.3918,0.0016,-0.053,0.7963,0.025,-3.1411,0.031,8.4
RandomForest,0.5424,0.6049,0.3923,612,0.3971,-0.0005,-0.053,-0.2761,-0.007,-3.9008,-0.009,5.9
GradBoost,0.54,0.5932,0.3631,645,0.3829,-0.0015,-0.053,-0.9963,-0.025,-4.3565,-0.031,6.4
