model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5481,0.6058,0.4062,655,0.4168,0.0031,-0.053,2.0419,0.049,-2.7559,0.062,6.5
XGBoost,0.5328,0.5991,0.3893,664,0.4111,0.0028,-0.053,1.8658,0.044,-2.1346,0.056,6.8
LSTM,0.5185,0.5883,0.3623,524,0.395,0.0019,-0.053,0.9903,0.03,-3.2471,0.038,8.3
RandomForest,0.537,0.5999,0.3914,627,0.3971,-0.0003,-0.053,-0.1883,-0.005,-3.9298,-0.006,5.9
GradBoost,0.5348,0.5891,0.3644,661,0.3873,-0.0009,-0.053,-0.5859,-0.014,-4.5445,-0.018,6.4
