rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-09,37700,0.6442,0.5984,0.6245,0.5569,0.5935,0.8475166,40716,35815,25,43.60243333535272,False,0.4350123663423326
2,VIC,RealEstate,2026-09-09,250500,0.6276,0.6964,0.6319,0.4846,0.5498,0.775452,270540,237975,25,68.62437004923243,True,0.13267389686964332
3,GVR,Materials,2026-09-09,31950,0.5299,0.5244,0.509,0.363,0.3766,0.876338,34506,30352,25,54.68821451655546,True,0.2991628671799088
4,PDR,RealEstate,2026-09-09,11850,0.5284,0.4743,0.5436,0.3978,0.381,0.8452194,12798,11257,25,38.82247668475206,False,0.252944784739322
5,VRE,RealEstate,2026-09-09,26600,0.5263,0.5463,0.5248,0.3777,0.3754,0.8070779,28728,25270,25,59.25453570523746,True,0.4002288465807469
6,GAS,Energy,2026-09-09,86900,0.4918,0.584,0.5134,0.3833,0.3575,0.6205855,93852,82555,25,67.31079247807475,True,0.9546827097507304
7,DGC,Materials,2026-09-09,46600,0.4833,0.5572,0.5414,0.4274,0.4894,0.40091008,50328,44270,25,60.78504052656598,True,0.3941143278788142
8,BID,Bank,2026-09-09,36300,0.4828,0.4503,0.4491,0.3021,0.3257,0.88700354,39204,34485,25,49.86757142822727,False,0.21360328747188262
9,FPT,Technology,2026-09-09,72800,0.4828,0.4931,0.48,0.3298,0.3451,0.7662197,78624,69160,25,58.784352974512856,True,0.3845573862844234
10,DXG,RealEstate,2026-09-09,11200,0.4794,0.5107,0.5459,0.4111,0.4289,0.500346,12096,10640,25,44.776192003540274,False,0.3411354308665573
11,PLX,Energy,2026-09-09,36400,0.4785,0.5415,0.5552,0.4202,0.4728,0.40256706,39312,34580,25,52.718985783987584,True,0.7812488422206432
12,VCI,Securities,2026-09-09,21450,0.472,0.4899,0.4738,0.3342,0.3246,0.7376153,23166,20377,25,44.33661598188593,False,0.33748363358446454
13,SSI,Securities,2026-09-09,20900,0.4671,0.4914,0.4847,0.3223,0.31,0.7273419,22572,19855,25,55.69804875578883,True,0.20582391504925285
14,FRT,Retail/Consumer,2026-09-09,140300,0.4505,0.5056,0.488,0.2996,0.2523,0.70718163,151524,133285,25,53.59286059661277,True,0.10236124138493537
15,VHM,RealEstate,2026-09-09,73100,0.4495,0.5045,0.5334,0.4079,0.3916,0.40987328,78948,69445,25,52.13446172414708,True,1.019108941207801
16,HDB,Bank,2026-09-09,27350,0.4367,0.4419,0.4733,0.3151,0.3156,0.63778853,29538,25982,25,55.531076220895066,True,0.3993439149254151
17,KDH,RealEstate,2026-09-09,17250,0.4346,0.488,0.5154,0.3801,0.3827,0.40700546,18630,16388,25,39.23940052092459,False,0.16888427856131183
18,MBB,Bank,2026-09-09,20000,0.4145,0.414,0.406,0.2585,0.2433,0.7506272,21600,19000,25,45.298715143141024,True,0.5581355975864809
19,MWG,Retail/Consumer,2026-09-09,72000,0.4036,0.4421,0.3984,0.228,0.2092,0.7404359,77760,68400,25,45.29418829927272,False,0.21806068415749033
20,TCB,Bank,2026-09-09,32450,0.4022,0.4719,0.4863,0.3094,0.3103,0.43298885,35046,30828,25,55.09493776688214,True,0.3349272436718071
21,VPB,Bank,2026-09-09,27350,0.4008,0.494,0.4934,0.3188,0.2996,0.39797512,29538,25982,25,60.298953510666266,True,0.24902536623903002
22,DPM,Materials,2026-09-09,23050,0.3984,0.4818,0.4804,0.3204,0.2956,0.4137897,24894,21898,25,59.27076008667963,True,0.7078914833704432
23,VNM,Retail/Consumer,2026-09-09,61600,0.3978,0.4405,0.4473,0.2648,0.2474,0.5892173,66528,58520,25,51.997222732076104,True,0.25650450178752066
24,DCM,Materials,2026-09-09,32950,0.3899,0.507,0.4854,0.3342,0.287,0.33612385,35586,31303,25,60.342758823868856,True,0.616522722395252
25,STB,Bank,2026-09-09,76800,0.3844,0.4673,0.489,0.3288,0.3136,0.3232822,82944,72960,25,59.634331183404264,True,0.28574693872142654
26,NLG,RealEstate,2026-09-09,25000,0.3821,0.5242,0.5168,0.3427,0.3317,0.19522268,27000,23750,25,59.92368804736594,True,0.2881949373077833
27,VND,Securities,2026-09-09,16050,0.3774,0.4476,0.3991,0.2458,0.2229,0.5714511,17334,15248,25,41.4694859395736,False,0.2369437502028628
28,HPG,Materials,2026-09-09,22000,0.367,0.4508,0.4705,0.3331,0.3363,0.24441983,23760,20900,25,52.58458464806745,True,0.7127066218375575
29,MSN,Retail/Consumer,2026-09-09,68800,0.3592,0.4424,0.4721,0.3091,0.2971,0.27505726,74304,65360,25,52.19963939767366,True,0.29279404069320036
30,HCM,Securities,2026-09-09,26300,0.3432,0.4614,0.4897,0.3196,0.2962,0.1492453,28404,24985,25,56.89678804234509,True,0.18680291519372544
31,REE,Utilities,2026-09-09,45700,0.3377,0.4199,0.4084,0.2464,0.2438,0.36991712,49356,43415,25,45.93892964788182,False,0.26620756044281535
32,ACB,Bank,2026-09-09,22300,0.3312,0.4038,0.4167,0.2513,0.251,0.33314314,24084,21185,25,49.42901161542258,False,0.20531708331664666
33,VCB,Bank,2026-09-09,58400,0.3233,0.4394,0.4232,0.2977,0.3397,0.11634812,63072,55480,25,47.31698234332577,False,0.4792506314869715
34,TPB,Bank,2026-09-09,14500,0.3053,0.4282,0.4365,0.2741,0.2644,0.123184465,15660,13775,25,46.17839241566297,False,0.18101261895079965
35,SAB,Retail/Consumer,2026-09-09,44700,0.2949,0.4101,0.3663,0.2025,0.1831,0.31245747,48276,42465,25,44.724273171171724,False,0.24420692832012605
36,POW,Utilities,2026-09-09,12850,0.2731,0.373,0.3487,0.198,0.1583,0.28739676,13878,12208,25,35.68034368258533,False,0.2121212847804177
37,HSG,Materials,2026-09-09,10600,0.2658,0.4305,0.3724,0.2447,0.2079,0.073266104,11448,10070,25,43.01125570489491,False,0.30113883667427166
38,CTG,Bank,2026-09-09,30650,0.261,0.4187,0.3537,0.2235,0.2254,0.083828345,33102,29117,25,39.90617985462761,False,0.5747995479316615
