model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5481,0.6053,0.4065,656,0.4162,0.0031,-0.053,2.0237,0.049,-2.7559,0.062,6.5
XGBoost,0.5331,0.5989,0.3906,665,0.4105,0.0027,-0.053,1.8013,0.043,-2.1346,0.054,6.8
LSTM,0.5186,0.5879,0.3631,524,0.395,0.0018,-0.053,0.9206,0.028,-3.2948,0.035,8.2
RandomForest,0.5373,0.5996,0.3923,629,0.399,-0.0001,-0.053,-0.0343,-0.001,-3.9298,-0.001,5.9
GradBoost,0.5352,0.5891,0.3661,662,0.3882,-0.0008,-0.053,-0.4993,-0.012,-4.5445,-0.015,6.5
