rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,VIC,RealEstate,2026-09-03,236300,0.6267,0.6832,0.6319,0.5037,0.5221,0.79246294,255204,224485,25,68.9144463996208,True,0.407447981159929
2,PNJ,Retail/Consumer,2026-09-03,40150,0.6172,0.6396,0.6342,0.5543,0.5174,0.7405744,43362,38142,25,50.6984831721735,False,0.836074893772953
3,PDR,RealEstate,2026-09-03,12200,0.61,0.5069,0.6266,0.5192,0.5323,0.8650044,13176,11590,25,45.34237591682883,False,0.30480618321114517
4,KDH,RealEstate,2026-09-03,17800,0.5983,0.5133,0.6159,0.5033,0.5911,0.7680541,19224,16910,25,44.12563861432248,False,0.624983094621034
5,VRE,RealEstate,2026-09-03,26250,0.5384,0.5639,0.5115,0.3791,0.3746,0.8631,28350,24938,25,59.75605133938727,True,0.36915594658688494
6,GVR,Materials,2026-09-03,32350,0.5317,0.5241,0.5309,0.3878,0.4007,0.8151722,34938,30732,25,57.597467904760876,True,0.2614958072839606
7,DGC,Materials,2026-09-03,42500,0.5271,0.5174,0.5535,0.3782,0.4158,0.77065235,45900,40375,25,48.294680650235996,False,0.30668547466198387
8,PLX,Energy,2026-09-03,36650,0.5222,0.5607,0.5502,0.4185,0.4548,0.62675565,39582,34817,25,53.68760649482047,True,0.7365252265873409
9,GAS,Energy,2026-09-03,85300,0.5063,0.5952,0.5372,0.4246,0.4022,0.5724652,92124,81035,25,65.68834713314156,True,0.45658419192299016
10,BID,Bank,2026-09-03,36550,0.4908,0.4659,0.4724,0.3423,0.351,0.82218707,39474,34722,25,52.42161612040841,False,0.4237863698370816
11,VND,Securities,2026-09-03,16500,0.4894,0.4942,0.4766,0.3439,0.3486,0.78363353,17820,15675,25,47.012099573161876,False,0.5342176436155492
12,VCI,Securities,2026-09-03,22600,0.4855,0.527,0.5002,0.3524,0.3363,0.7116796,24408,21470,25,56.424395890905,True,0.4977635993786483
13,MWG,Retail/Consumer,2026-09-03,73800,0.4837,0.4608,0.4776,0.3423,0.3435,0.7944307,79704,70110,25,51.05368325410637,True,0.3818058080962366
14,FPT,Technology,2026-09-03,72400,0.4832,0.5077,0.4885,0.3623,0.3554,0.7023282,78192,68780,25,58.30982490082199,True,0.4128008211294195
15,CTG,Bank,2026-09-03,31600,0.4713,0.4541,0.4482,0.317,0.3333,0.8040567,34128,30020,25,49.09151365683168,False,0.32962412480146897
16,MBB,Bank,2026-09-03,20750,0.4681,0.4722,0.4698,0.2999,0.2742,0.82419944,22410,19712,25,59.01605254517107,True,0.4892565272028676
17,SSI,Securities,2026-09-03,21250,0.4667,0.5329,0.4988,0.3279,0.3225,0.6513258,22950,20188,25,61.396877754318474,True,0.49343191987412943
