model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5507,0.6085,0.4065,646,0.4149,0.0029,-0.053,1.8689,0.046,-2.6499,0.058,6.5
XGBoost,0.5346,0.6014,0.3889,655,0.4061,0.0021,-0.053,1.3444,0.032,-2.1346,0.041,6.7
LSTM,0.5196,0.5901,0.3606,523,0.3958,0.002,-0.053,1.0463,0.032,-3.2471,0.04,8.3
RandomForest,0.5389,0.6022,0.3909,619,0.3926,-0.001,-0.053,-0.6471,-0.017,-4.0817,-0.021,5.9
GradBoost,0.5364,0.5912,0.3634,652,0.3819,-0.0017,-0.053,-1.1073,-0.027,-4.5445,-0.034,6.4
