rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-04,39000,0.6449,0.6578,0.6531,0.5449,0.5598,0.80904734,42120,37050,25,47.425394699802254,False,0.9246197100546738
2,VIC,RealEstate,2026-09-04,254000,0.6435,0.7194,0.6574,0.5321,0.5159,0.7928798,274320,241300,25,76.71859951701826,True,0.521790048358003
3,PDR,RealEstate,2026-09-04,12100,0.6149,0.5063,0.6281,0.5041,0.5566,0.8792586,13068,11495,25,43.4989649721884,False,0.3409916607173797
4,VRE,RealEstate,2026-09-04,26700,0.5406,0.581,0.5173,0.3757,0.4032,0.8257383,28836,25365,25,62.90194975646421,True,0.8660618900175638
5,GVR,Materials,2026-09-04,31550,0.5401,0.5066,0.5322,0.3855,0.4155,0.8609486,34074,29972,25,52.018737735963235,True,0.36124806938339077
6,KDH,RealEstate,2026-09-04,17300,0.5396,0.5169,0.5535,0.4395,0.4732,0.71469,18684,16435,25,39.184090997383684,False,0.6837310514536621
7,DGC,Materials,2026-09-04,47650,0.5124,0.5781,0.5604,0.3992,0.4374,0.58671516,51462,45268,25,66.13846182981405,True,2.295554925240083
8,GAS,Energy,2026-09-04,82900,0.5095,0.5479,0.5475,0.4193,0.4443,0.58865416,89532,78755,25,59.285428592832105,True,0.2611429126980152
9,PLX,Energy,2026-09-04,36050,0.5037,0.5169,0.5453,0.4246,0.4497,0.5819474,38934,34247,25,50.034077643550035,True,0.43973651291137966
10,VCI,Securities,2026-09-04,22450,0.4937,0.5241,0.5036,0.3758,0.3548,0.7102985,24246,21327,25,54.50064699027696,True,0.2525617576531847
11,DXG,RealEstate,2026-09-04,11550,0.4919,0.5458,0.5517,0.4587,0.4535,0.44968608,12474,10972,25,51.34610450736041,True,0.9504889460389471
12,BID,Bank,2026-09-04,36400,0.4806,0.4562,0.4599,0.3076,0.3332,0.84589213,39312,34580,25,50.751275822202224,False,0.31345474315783556
13,FPT,Technology,2026-09-04,72700,0.4791,0.5051,0.4884,0.345,0.3528,0.7042041,78516,69065,25,59.093307251690256,True,0.33715897691898333
14,MWG,Retail/Consumer,2026-09-04,72900,0.4776,0.4566,0.4554,0.3206,0.3266,0.82887864,78732,69255,25,48.13304719282248,False,0.3321727099748859
15,VND,Securities,2026-09-04,16450,0.4773,0.4929,0.4653,0.3167,0.33,0.7817526,17766,15627,25,46.51026172950629,False,0.2698310674349227
16,VHM,RealEstate,2026-09-04,75500,0.4706,0.5669,0.539,0.4169,0.4505,0.3797185,81540,71725,25,60.4963335871716,True,1.1641724059202943
17,SSI,Securities,2026-09-04,21050,0.4693,0.5238,0.5074,0.3269,0.3166,0.67196757,22734,19998,25,58.220304918254016,True,0.2931698692190049
18,MBB,Bank,2026-09-04,20650,0.461,0.4622,0.4635,0.2857,0.2468,0.8469488,22302,19617,25,56.86534698149136,True,0.2895949385270008
19,FRT,Retail/Consumer,2026-09-04,139800,0.4374,0.4971,0.4975,0.3096,0.2942,0.5888038,150984,132810,25,53.45588483502722,True,0.15944399018806213
20,HDB,Bank,2026-09-04,27050,0.4322,0.4366,0.4727,0.3239,0.3153,0.6122573,29214,25697,25,51.789729050938845,True,0.49684458801731346
21,VPB,Bank,2026-09-04,27400,0.4114,0.5138,0.4874,0.3293,0.3238,0.40260205,29592,26030,25,63.21495890057366,True,0.597280387976792
22,CTG,Bank,2026-09-04,31550,0.4112,0.448,0.4478,0.2928,0.2952,0.5723224,34074,29972,25,48.652221882438624,False,0.261401809926693
23,DPM,Materials,2026-09-04,22900,0.4028,0.4911,0.486,0.3299,0.2995,0.40734276,24732,21755,25,59.65190321602512,True,0.6816312160707614
24,TCB,Bank,2026-09-04,32350,0.4012,0.4749,0.4919,0.3503,0.3199,0.3690529,34938,30732,25,55.053311887300644,True,0.3501564823387671
25,VNM,Retail/Consumer,2026-09-04,61900,0.3946,0.4408,0.465,0.2719,0.2335,0.5619647,66852,58805,25,53.77059308686156,True,0.24223421136147255
26,NLG,RealEstate,2026-09-04,24950,0.385,0.5386,0.5173,0.3517,0.3412,0.17624159,26946,23702,25,63.36059185590903,True,0.596136775461995
27,DCM,Materials,2026-09-04,32300,0.3773,0.4885,0.4819,0.3334,0.306,0.2768176,34884,30685,25,57.274617997556064,True,0.6183457294456438
28,VCB,Bank,2026-09-04,58700,0.3743,0.4552,0.4602,0.3317,0.3543,0.26992038,63396,55765,25,48.53672933436383,False,0.5099316932199891
29,STB,Bank,2026-09-04,74800,0.3683,0.4567,0.483,0.3263,0.2924,0.28323838,80784,71060,25,54.741165754389854,True,0.17160330127683765
30,HCM,Securities,2026-09-04,26250,0.3584,0.4841,0.4932,0.3248,0.2972,0.19255999,28350,24938,25,57.5592369174379,True,0.21241813265337597
31,POW,Utilities,2026-09-04,12850,0.3574,0.395,0.3677,0.2501,0.2361,0.5383302,13878,12208,25,33.638017626848566,False,0.7054852701290696
32,MSN,Retail/Consumer,2026-09-04,68600,0.3555,0.457,0.4729,0.3096,0.2971,0.24103807,74088,65170,25,51.11472324996541,True,0.2731407116883629
33,HPG,Materials,2026-09-04,21700,0.3335,0.4482,0.4473,0.269,0.2752,0.22768511,23436,20615,25,48.069454264464675,False,0.2810727963030055
34,REE,Utilities,2026-09-04,45500,0.3239,0.4309,0.3362,0.2161,0.1829,0.4533875,49140,43225,25,43.802540796638716,False,0.33929020891014344
35,SAB,Retail/Consumer,2026-09-04,45150,0.3235,0.4121,0.4104,0.2276,0.1816,0.38569975,48762,42892,25,48.095945345239954,True,0.20361888482059906
36,HSG,Materials,2026-09-04,10650,0.3207,0.4523,0.4212,0.2886,0.3011,0.1405383,11502,10118,25,44.23784823042067,False,0.4615154553499854
37,ACB,Bank,2026-09-04,22250,0.3201,0.424,0.4228,0.2535,0.2536,0.24642313,24030,21138,25,48.50173151476272,False,0.24275856211147334
38,TPB,Bank,2026-09-04,14600,0.3043,0.4353,0.4343,0.2706,0.2584,0.12270347,15768,13870,25,48.540153883345894,False,0.18020580557802449
