model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5493,0.6073,0.4062,650,0.4154,0.0029,-0.053,1.9169,0.047,-2.7029,0.059,6.5
XGBoost,0.5336,0.6002,0.3886,656,0.407,0.0022,-0.053,1.4214,0.034,-2.1346,0.043,6.7
LSTM,0.5191,0.5894,0.3615,523,0.3958,0.002,-0.053,1.0463,0.032,-3.2471,0.04,8.3
RandomForest,0.5377,0.6011,0.3906,620,0.3935,-0.0009,-0.053,-0.5701,-0.015,-4.0068,-0.018,5.9
GradBoost,0.5354,0.5899,0.3628,652,0.3819,-0.0017,-0.053,-1.1073,-0.027,-4.5445,-0.034,6.4
