rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-22,36000,0.6,0.612,0.5423,0.4653,0.4887,0.8917426,38880,34200,25,39.81481594331968,False,0.6092880776294047
2,VIC,RealEstate,2026-09-22,240000,0.5436,0.5877,0.5741,0.4366,0.4108,0.7087668,259200,228000,25,57.157430702821486,True,0.0911730087596609
3,GAS,Energy,2026-09-22,85200,0.5404,0.5503,0.5199,0.3752,0.3687,0.8880563,92016,80940,25,53.825354606641454,True,0.1994865523923941
4,VRE,RealEstate,2026-09-22,25000,0.5307,0.5113,0.5014,0.3811,0.4062,0.85354626,27000,23750,25,44.64562360066558,True,0.2363572117271247
5,GVR,Materials,2026-09-22,32350,0.5011,0.526,0.5004,0.3633,0.3769,0.73905575,34938,30732,25,56.8833593717946,True,0.3572364222617808
6,FRT,Retail/Consumer,2026-09-22,130100,0.4628,0.4865,0.4843,0.3344,0.363,0.6460231,140508,123595,25,41.5447114530488,False,0.8270765244530813
7,PLX,Energy,2026-09-22,36400,0.4492,0.5421,0.5515,0.4154,0.4599,0.27726132,39312,34580,25,50.38233987658493,True,0.5168975885015651
8,PDR,RealEstate,2026-09-22,11800,0.449,0.5156,0.5833,0.4494,0.489,0.20788553,12744,11210,25,44.182104189900315,False,0.9277680906222456
9,KDH,RealEstate,2026-09-22,15950,0.4473,0.4821,0.5106,0.3965,0.393,0.4545379,17226,15152,25,35.24017166121543,False,0.3182520397785938
10,VCI,Securities,2026-09-22,20450,0.4383,0.506,0.5264,0.4294,0.395,0.33454436,22086,19428,25,44.64942274623681,False,0.23656160807791787
11,MSN,Retail/Consumer,2026-09-22,70000,0.4221,0.5047,0.4829,0.3414,0.3542,0.4274177,75600,66500,25,59.87512704193184,True,1.5015937291343755
12,MWG,Retail/Consumer,2026-09-22,72400,0.4207,0.4721,0.472,0.3477,0.3528,0.45868704,78192,68780,25,49.51913876720051,True,0.6525553206703736
13,VNM,Retail/Consumer,2026-09-22,61000,0.4202,0.4382,0.4351,0.2786,0.2681,0.6807854,65880,57950,25,51.0999053537755,True,0.3628823416937851
14,STB,Bank,2026-09-22,77800,0.4037,0.4607,0.525,0.3856,0.3275,0.31977218,84024,73910,25,58.599755922914824,True,0.18327496185514988
15,VHM,RealEstate,2026-09-22,69300,0.4034,0.4898,0.4476,0.2902,0.2886,0.5009943,74844,65835,25,41.464471346799236,False,0.45774817132320167
16,SAB,Retail/Consumer,2026-09-22,44450,0.4017,0.4268,0.4162,0.2604,0.2587,0.6462598,48006,42228,25,46.81300943560046,False,0.6684512283099822
17,DGC,Materials,2026-09-22,35650,0.3981,0.5291,0.4849,0.3561,0.3962,0.22402115,38502,33868,25,34.09447931219165,False,0.20508849557522124
18,DCM,Materials,2026-09-22,33300,0.3979,0.4908,0.4786,0.3049,0.2596,0.45575652,35964,31635,25,57.90336813416784,True,0.18727822315678802
19,SSI,Securities,2026-09-22,21100,0.3962,0.4954,0.4879,0.3166,0.3199,0.361234,22788,20045,25,55.61136902898648,True,0.3085250987062674
20,NLG,RealEstate,2026-09-22,23950,0.3933,0.4969,0.4733,0.3064,0.2939,0.39612842,25866,22752,25,48.923634933252586,True,0.1957519289191697
21,BID,Bank,2026-09-22,36300,0.3905,0.4703,0.4752,0.3156,0.3481,0.34331095,39204,34485,25,50.33421047668765,True,0.3088430254568633
22,VND,Securities,2026-09-22,14950,0.3873,0.462,0.4723,0.3337,0.2957,0.37289613,16146,14202,25,39.29014625930576,False,0.2918579728783906
23,HCM,Securities,2026-09-22,25100,0.3869,0.4297,0.4545,0.2761,0.2723,0.50179005,27108,23845,25,44.585729954565224,False,0.16513235334552753
24,REE,Utilities,2026-09-22,46750,0.3852,0.4528,0.4717,0.3283,0.3386,0.33440003,50490,44412,25,58.10157829679723,True,0.45635135344041305
25,POW,Utilities,2026-09-22,12750,0.3837,0.4341,0.4385,0.3213,0.3396,0.38479832,13770,12112,25,43.015399485552784,False,0.635696561206479
26,VPB,Bank,2026-09-22,28050,0.3803,0.4617,0.4806,0.2898,0.2673,0.4019688,30294,26648,25,59.178579876421274,True,0.28405760457395673
27,HDB,Bank,2026-09-22,27450,0.3713,0.4399,0.475,0.3146,0.3119,0.31529948,29646,26077,25,55.02939433951216,True,0.3905713284102394
28,TCB,Bank,2026-09-22,32350,0.3657,0.4766,0.486,0.3051,0.3007,0.26032153,34938,30732,25,53.33095931066699,True,0.30582772460306723
29,VCB,Bank,2026-09-22,59200,0.3597,0.4426,0.4675,0.3042,0.3472,0.2371776,63936,56240,25,51.310047628579326,True,0.18857185520458514
30,DPM,Materials,2026-09-22,22800,0.3578,0.4619,0.4792,0.2973,0.2791,0.27162546,24624,21660,25,54.77060296491535,True,0.17064284616904066
31,DXG,RealEstate,2026-09-22,10500,0.355,0.4861,0.4779,0.3519,0.3156,0.14366058,11340,9975,25,36.23050360015658,False,0.22668380023512705
32,CTG,Bank,2026-09-22,30900,0.3532,0.4499,0.4514,0.2911,0.3022,0.2714935,33372,29355,25,48.408308653958386,False,0.180704998990143
33,FPT,Technology,2026-09-22,66700,0.3501,0.4702,0.4062,0.2401,0.1988,0.43512827,72036,63365,25,39.01674241736419,False,0.37422827137675646
34,MBB,Bank,2026-09-22,20050,0.3156,0.4315,0.4235,0.2631,0.248,0.21200828,21654,19048,25,48.036975091219176,True,0.3641208061763816
35,ACB,Bank,2026-09-22,22100,0.3121,0.4135,0.3968,0.2375,0.2498,0.26286042,23868,20995,25,47.122625210441534,False,0.34214733512915985
36,HPG,Materials,2026-09-22,21150,0.2962,0.4211,0.4091,0.2506,0.2204,0.17988963,22842,20092,25,44.634973661814286,False,0.21975816254075192
37,TPB,Bank,2026-09-22,14200,0.2954,0.432,0.4017,0.2608,0.2497,0.13286799,15336,13490,25,44.828822910428215,False,0.8276994298307241
38,HSG,Materials,2026-09-22,10100,0.2324,0.3819,0.3621,0.1996,0.1625,0.055992816,10908,9595,25,34.16176620763359,False,0.3620002819906859
