date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2025-06-12,VIC,0.9096,43.4,-0.05,-0.053,1,0,sl
2025-06-16,PDR,0.7165,15.93,0.08,0.077,14,1,tp
2025-06-16,POW,0.7393,10.79,0.08,0.077,20,1,tp
2025-06-16,VHM,0.9024,32.45,0.08,0.077,3,1,tp
2025-06-16,VIC,0.9153,42.7,0.08,0.077,5,1,tp
2025-06-17,HPG,0.6374,19.97,0.08,0.077,15,1,tp
2025-06-17,PNJ,0.7843,52.68,0.08,0.077,19,1,tp
2025-06-17,VNM,0.6349,51.98,0.08,0.077,18,1,tp
2025-06-17,VRE,0.6726,23.71,0.08,0.077,16,1,tp
2025-06-18,DPM,0.6585,19.84,0.08,0.077,23,1,tp
2025-06-23,GVR,0.7038,29.38,0.08,0.077,7,1,tp
2025-06-23,VHM,0.8682,35.63,0.08,0.077,12,1,tp
2025-06-24,CTG,0.6357,28.06,0.08,0.077,11,1,tp
2025-06-24,HCM,0.6336,17.68,0.08,0.077,6,1,tp
2025-06-25,VIC,0.8906,47.9,-0.05,-0.053,8,0,sl
2025-06-27,FPT,0.7037,99.58,0.08,0.077,10,1,tp
2025-06-30,HDB,0.6447,16.81,0.08,0.077,6,1,tp
2025-07-02,STB,0.6293,47.55,0.08,0.077,24,1,tp
2025-07-03,SSI,0.6329,18.28,0.08,0.077,4,1,tp
2025-07-04,HCM,0.6605,19.93,0.08,0.077,5,1,tp
2025-07-07,DCM,0.6558,31.91,0.08,0.077,16,1,tp
2025-07-08,MSN,0.6645,75.6,-0.05,-0.053,16,0,sl
2025-07-08,VIC,0.8813,46.65,0.08,0.077,2,1,tp
2025-07-09,SAB,0.6857,42.76,0.0063,0.0033,25,0,time
2025-07-10,HPG,0.7223,22.45,0.08,0.077,19,1,tp
2025-07-10,SSI,0.7107,20.56,0.08,0.077,3,1,tp
2025-07-11,MWG,0.6657,65.91,0.08,0.077,18,1,tp
2025-07-11,PLX,0.6347,36.4,-0.05,-0.053,15,0,sl
2025-07-11,TPB,0.6296,14.14,0.08,0.077,11,1,tp
2025-07-14,DGC,0.821,99.55,-0.0048,-0.0078,25,0,time
2025-07-14,HCM,0.7471,21.2,0.08,0.077,10,1,tp
2025-07-14,VIC,0.7579,56.5,0.08,0.077,3,1,tp
2025-07-15,TCB,0.6538,33.2,0.08,0.077,15,1,tp
2025-07-15,VCI,0.661,29.64,0.08,0.077,9,1,tp
2025-07-16,SSI,0.7348,22.44,0.08,0.077,8,1,tp
2025-07-16,VHM,0.6816,42.37,0.08,0.077,2,1,tp
2025-07-21,PDR,0.6289,18.52,0.08,0.077,5,1,tp
2025-07-21,VHM,0.6737,44.3,0.08,0.077,23,1,tp
2025-07-21,VIC,0.7646,56.0,-0.05,-0.053,8,0,sl
2025-07-21,VND,0.6312,17.64,0.08,0.077,2,1,tp
2025-07-22,DXG,0.6633,17.11,0.08,0.077,4,1,tp
2025-07-22,VRE,0.63,28.97,-0.05,-0.053,2,0,sl
2025-07-23,NLG,0.6484,35.78,0.08,0.077,3,1,tp
2025-07-24,VPB,0.6476,23.09,0.08,0.077,3,1,tp
2025-07-25,VND,0.757,20.56,0.08,0.077,2,1,tp
2025-07-28,HDB,0.6334,21.94,-0.05,-0.053,1,0,sl
2025-07-28,TPB,0.6545,15.67,-0.05,-0.053,1,0,sl
2025-07-28,VRE,0.7445,28.35,-0.05,-0.053,2,0,sl
2025-07-29,DXG,0.8691,17.11,-0.05,-0.053,1,0,sl
2025-07-29,FRT,0.7585,145.62,-0.05,-0.053,12,0,sl
2025-07-29,NLG,0.8298,35.73,0.08,0.077,9,1,tp
2025-07-29,SSI,0.6814,23.64,0.08,0.077,8,1,tp
2025-07-30,PNJ,0.6546,55.54,0.02,0.017,25,0,time
2025-07-30,VND,0.7253,21.67,0.08,0.077,4,1,tp
2025-07-30,VPB,0.7202,24.81,0.08,0.077,4,1,tp
2025-07-31,GVR,0.6708,29.68,0.08,0.077,7,1,tp
2025-07-31,HDB,0.6646,20.4,0.08,0.077,3,1,tp
2025-07-31,HSG,0.6303,14.35,0.08,0.077,8,1,tp
2025-08-01,DXG,0.9116,17.28,0.08,0.077,5,1,tp
2025-08-04,PDR,0.6912,19.2,-0.05,-0.053,1,0,sl
2025-08-04,VIC,0.9117,55.6,0.08,0.077,3,1,tp
2025-08-05,GAS,0.74,63.82,-0.0285,-0.0315,25,0,time
2025-08-06,VPB,0.648,26.63,0.08,0.077,2,1,tp
2025-08-07,PDR,0.7181,19.95,0.08,0.077,2,1,tp
2025-08-07,TCB,0.7768,36.64,0.08,0.077,10,1,tp
2025-08-11,DXG,0.8276,18.95,-0.05,-0.053,5,0,sl
2025-08-11,VIC,0.8551,57.75,0.08,0.077,4,1,tp
2025-08-12,VND,0.6911,23.42,-0.05,-0.053,8,0,sl
2025-08-13,VPB,0.6296,28.3,0.08,0.077,2,1,tp
2025-08-15,DCM,0.692,38.76,-0.05,-0.053,5,0,sl
2025-08-18,DPM,0.6304,26.87,-0.05,-0.053,2,0,sl
2025-08-18,PDR,0.6344,25.65,-0.05,-0.053,2,0,sl
2025-08-18,VPB,0.635,31.44,0.08,0.077,2,1,tp
2025-08-19,KDH,0.6435,36.8,-0.05,-0.053,1,0,sl
2025-08-20,DGC,0.6482,94.85,-0.05,-0.053,14,0,sl
2025-08-22,DPM,0.7293,24.62,-0.05,-0.053,25,0,sl
2025-08-22,KDH,0.684,34.0,0.08,0.077,3,1,tp
2025-08-22,PDR,0.7059,24.0,0.08,0.077,6,1,tp
2025-08-25,DCM,0.7029,35.55,0.08,0.077,7,1,tp
2025-08-25,HPG,0.6633,23.17,0.08,0.077,5,1,tp
2025-08-25,MBB,0.6291,20.98,0.08,0.077,5,1,tp
2025-08-25,VND,0.6485,20.9,0.08,0.077,2,1,tp
2025-08-27,VPB,0.6563,32.72,0.08,0.077,2,1,tp
2025-09-03,HPG,0.8471,25.13,0.08,0.077,8,1,tp
2025-09-03,VPB,0.6643,33.9,-0.05,-0.053,3,0,sl
2025-09-04,CTG,0.7179,34.45,0.0784,0.0754,25,0,time
2025-09-04,GVR,0.6482,29.08,-0.05,-0.053,5,0,sl
2025-09-05,DCM,0.7837,37.34,-0.05,-0.053,2,0,sl
2025-09-05,PNJ,0.7887,56.65,-0.0092,-0.0122,25,0,time
2025-09-08,HSG,0.6392,15.38,-0.05,-0.053,3,0,sl
2025-09-08,TCB,0.6784,36.26,0.08,0.077,21,1,tp
