rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-16,36900,0.6079,0.5918,0.5769,0.479,0.5453,0.8466433,39852,35055,25,42.826749619303214,False,0.2604222706722919
2,VIC,RealEstate,2026-09-16,242900,0.578,0.6152,0.5835,0.4571,0.449,0.7851369,262332,230755,25,61.201487614256294,True,0.12196587618552716
3,GVR,Materials,2026-09-16,32250,0.5402,0.5486,0.521,0.3811,0.4189,0.8314737,34830,30638,25,56.49264363551722,True,1.338831503978762
4,VRE,RealEstate,2026-09-16,25750,0.5381,0.5097,0.5201,0.3752,0.3945,0.8912411,27810,24462,25,51.23086238845906,True,0.21008237284383943
5,GAS,Energy,2026-09-16,91300,0.4833,0.5635,0.5117,0.3405,0.3224,0.6784075,98604,86735,25,70.51084741560332,True,0.8631313159526509
6,FRT,Retail/Consumer,2026-09-16,132800,0.4831,0.5136,0.4864,0.3262,0.3879,0.7012449,143424,126160,25,44.58895623075372,True,0.27642706131078226
7,PLX,Energy,2026-09-16,38500,0.4736,0.5821,0.5259,0.4038,0.4261,0.43000278,41580,36575,25,64.6640871420955,True,1.6486784196874096
8,FPT,Technology,2026-09-16,71700,0.4733,0.4556,0.4773,0.3502,0.3524,0.7309215,77436,68115,25,51.03632363938783,True,0.572384511349767
9,NLG,RealEstate,2026-09-16,23800,0.4453,0.5077,0.4952,0.364,0.3664,0.49308473,25704,22610,25,47.257472016800705,True,0.15298383822355802
10,SSI,Securities,2026-09-16,20500,0.4396,0.4732,0.4853,0.3139,0.288,0.6377538,22140,19475,25,50.027744274564974,True,0.2783848737576352
11,VHM,RealEstate,2026-09-16,71500,0.4296,0.4686,0.5316,0.3621,0.3474,0.43815327,77220,67925,25,46.952829266067404,False,0.37549077719501545
12,DPM,Materials,2026-09-16,23400,0.426,0.501,0.4839,0.3344,0.3029,0.50793767,25272,22230,25,60.888594690263545,True,1.3132719925112446
13,PDR,RealEstate,2026-09-16,11400,0.4096,0.4444,0.4581,0.2885,0.2892,0.56763977,12312,10830,25,31.479983405612174,False,0.27211533567465773
14,DCM,Materials,2026-09-16,33750,0.4051,0.5442,0.4882,0.3253,0.3195,0.34826416,36450,32062,25,64.93427464120035,True,0.6457628761006419
15,VPB,Bank,2026-09-16,27500,0.4042,0.4602,0.4845,0.2993,0.2671,0.5099448,29700,26125,25,59.18564817101858,True,0.28088189136294817
16,DGC,Materials,2026-09-16,35200,0.4032,0.5907,0.4584,0.375,0.2677,0.32444024,38016,33440,25,30.535034947178133,False,0.6010302335317352
17,KDH,RealEstate,2026-09-16,15550,0.4013,0.4336,0.4778,0.2913,0.3707,0.43330526,16794,14772,25,24.965000144455573,False,0.22950216648154562
18,STB,Bank,2026-09-16,76800,0.3884,0.4593,0.4913,0.3152,0.2928,0.38337898,82944,72960,25,56.94837739859072,True,0.12975076580142553
19,BID,Bank,2026-09-16,36600,0.384,0.4564,0.475,0.317,0.3348,0.336594,39528,34770,25,53.28880564405942,True,0.26020123239797394
20,VND,Securities,2026-09-16,14750,0.3778,0.4101,0.4619,0.3017,0.2783,0.43721294,15930,14012,25,29.783071724011037,False,0.19752485462886046
21,VNM,Retail/Consumer,2026-09-16,60000,0.374,0.4131,0.3866,0.2458,0.2121,0.612475,64800,57000,25,44.30927024066852,True,0.1918015522688531
22,VCI,Securities,2026-09-16,19750,0.3696,0.4519,0.4657,0.3257,0.2935,0.3110411,21330,18762,25,33.12928177267223,False,0.2845005514846403
23,HDB,Bank,2026-09-16,26850,0.358,0.4126,0.4328,0.2803,0.2682,0.39624727,28998,25508,25,47.545341590789434,True,0.3377329542770928
24,TCB,Bank,2026-09-16,32100,0.3555,0.4525,0.4609,0.291,0.2625,0.31038076,34668,30495,25,52.39337973052716,True,0.1596775113027378
25,DXG,RealEstate,2026-09-16,10450,0.3487,0.4849,0.4601,0.3397,0.2722,0.18669581,11286,9927,25,33.27640031138823,False,0.39908870120511747
26,VCB,Bank,2026-09-16,59600,0.3473,0.4374,0.4734,0.3073,0.3401,0.17811142,64368,56620,25,54.569258069585715,True,0.2463662560562399
27,HCM,Securities,2026-09-16,24900,0.341,0.4255,0.4219,0.2579,0.2535,0.3460564,26892,23655,25,40.94725499889118,False,0.3270151881115159
28,MBB,Bank,2026-09-16,20050,0.3345,0.4098,0.4058,0.2427,0.2186,0.39540616,21654,19048,25,47.825676633877634,True,0.25004463538672855
