model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5482,0.6062,0.4086,665,0.4226,0.0038,-0.053,2.5506,0.06,-2.6499,0.077,6.5
XGBoost,0.5341,0.5998,0.3927,672,0.4152,0.0033,-0.053,2.2314,0.052,-2.0816,0.066,6.8
LSTM,0.5186,0.5883,0.3638,539,0.3989,0.003,-0.053,1.5933,0.047,-3.1461,0.059,8.5
RandomForest,0.5381,0.6005,0.3944,633,0.4044,0.0007,-0.053,0.4187,0.01,-3.9227,0.013,6.0
GradBoost,0.5369,0.5904,0.3691,666,0.3919,-0.0002,-0.053,-0.1028,-0.002,-4.3951,-0.003,6.5
