rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,KDH,RealEstate,2026-08-26,18200,0.5924,0.4869,0.5992,0.5046,0.5254,0.84604686,19656,17290,25,49.09279714587913,False,0.35868182060102866
2,PNJ,Retail/Consumer,2026-08-26,42500,0.5763,0.6685,0.6031,0.5215,0.4352,0.65339744,45900,40375,25,59.063285821907954,False,0.4087615862149951
3,PDR,RealEstate,2026-08-26,12550,0.5682,0.5103,0.5938,0.4707,0.4533,0.8129939,13554,11922,25,52.344459361707536,False,0.1732545320099467
4,VIC,RealEstate,2026-08-26,223000,0.5631,0.6098,0.6064,0.4532,0.4409,0.7050074,240840,211850,25,61.07092548835591,True,0.5539120433108307
5,VRE,RealEstate,2026-08-26,25250,0.545,0.5022,0.5242,0.3805,0.3961,0.9221303,27270,23987,25,52.480995215790344,False,0.23482554678566686
6,DGC,Materials,2026-08-26,44300,0.5391,0.506,0.5487,0.4164,0.4742,0.75003266,47844,42085,25,56.687946510352866,True,0.6921621352454935
7,VCI,Securities,2026-08-26,22300,0.5173,0.5,0.4943,0.3687,0.368,0.85536474,24084,21185,25,54.596684190255566,False,0.38698317680063266
8,GVR,Materials,2026-08-26,33350,0.511,0.5502,0.5347,0.3765,0.3709,0.7227855,36018,31682,25,65.61038925971135,True,1.299953214364145
9,PLX,Energy,2026-08-26,37700,0.5081,0.5546,0.5538,0.4284,0.4604,0.54306346,40716,35815,25,60.35236851996349,True,0.9244556987559598
10,GAS,Energy,2026-08-26,84500,0.504,0.5684,0.5387,0.4029,0.3884,0.62164026,91260,80275,25,64.2727057602035,True,0.5344325835958361
11,DXG,RealEstate,2026-08-26,11900,0.5039,0.5338,0.54,0.3946,0.3863,0.6645858,12852,11305,25,59.680827678617824,True,0.48016909649334244
12,FPT,Technology,2026-08-26,72300,0.4887,0.4957,0.4908,0.3469,0.3519,0.75830376,78084,68685,25,59.992701841884305,True,0.7944055801518355
