model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5484,0.6074,0.4088,671,0.4218,0.0037,-0.053,2.4926,0.059,-2.6499,0.074,6.5
XGBoost,0.5347,0.6009,0.3927,678,0.4115,0.0028,-0.053,1.9134,0.045,-2.0816,0.056,6.8
LSTM,0.5193,0.5896,0.3645,539,0.3952,0.0024,-0.053,1.2863,0.038,-3.1411,0.048,8.5
RandomForest,0.5384,0.6016,0.3944,637,0.4035,0.0004,-0.053,0.24,0.006,-3.8697,0.008,5.9
GradBoost,0.538,0.5919,0.3701,668,0.3892,-0.0005,-0.053,-0.3388,-0.008,-4.2891,-0.01,6.5
