rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-23,35200,0.5693,0.6153,0.5151,0.4218,0.41,0.88438946,38016,33440,25,37.1378672665067,False,0.5367633934505296
2,GAS,Energy,2026-09-23,86000,0.5414,0.5456,0.5196,0.37,0.3747,0.8971828,92880,81700,25,55.78706646600984,True,0.28810471249389025
3,VIC,RealEstate,2026-09-23,241400,0.534,0.5909,0.567,0.4198,0.4016,0.69068784,260712,229330,25,57.41693472159674,True,0.16392621792614154
4,VRE,RealEstate,2026-09-23,25150,0.5248,0.5183,0.4959,0.3657,0.3913,0.8529352,27162,23892,25,46.22677785714942,True,0.19881342343374184
5,GVR,Materials,2026-09-23,32400,0.4857,0.5275,0.4903,0.3468,0.3756,0.68846303,34992,30780,25,57.29284919536397,True,0.3837283589257962
6,FRT,Retail/Consumer,2026-09-23,134900,0.4835,0.511,0.5206,0.357,0.3587,0.67030436,145692,128155,25,50.057213802771436,True,1.9481245458102745
7,KDH,RealEstate,2026-09-23,16000,0.4823,0.4851,0.5393,0.4498,0.4084,0.52890307,17280,15200,25,36.11980213918187,False,0.2555836561772594
8,PLX,Energy,2026-09-23,36600,0.4437,0.5372,0.5555,0.4267,0.448,0.25111872,39528,34770,25,51.69297845625694,True,0.23351441642087523
9,VCI,Securities,2026-09-23,20300,0.4416,0.5104,0.5175,0.4295,0.4041,0.34637,21924,19285,25,43.414320342006754,False,0.2543124819288601
10,MWG,Retail/Consumer,2026-09-23,73200,0.4281,0.4846,0.4794,0.3477,0.3591,0.4697758,79056,69540,25,52.322803766222854,True,0.5966269038608049
11,HCM,Securities,2026-09-23,25450,0.4192,0.4488,0.4717,0.3356,0.3234,0.51629883,27486,24178,25,49.04519258452153,False,0.32188325058705597
12,SAB,Retail/Consumer,2026-09-23,44600,0.4147,0.4228,0.4278,0.2389,0.2726,0.7115212,48168,42370,25,48.12198165320861,False,0.20308723785764404
13,MSN,Retail/Consumer,2026-09-23,70100,0.4118,0.4911,0.4806,0.336,0.3422,0.40888545,75708,66595,25,59.79223764883481,True,0.37912398362068644
14,VNM,Retail/Consumer,2026-09-23,60900,0.4087,0.4253,0.4351,0.2543,0.2528,0.6758093,65772,57855,25,50.39213693357386,True,0.21801804941613373
15,PDR,RealEstate,2026-09-23,11650,0.4075,0.4865,0.545,0.3876,0.3724,0.24580947,12582,11067,25,40.091723666951026,False,0.1020324841594934
16,BID,Bank,2026-09-23,36450,0.4043,0.4738,0.4794,0.3515,0.3649,0.3521436,39366,34628,25,51.81453102464771,True,0.505318397501135
17,REE,Utilities,2026-09-23,47600,0.4022,0.4866,0.4683,0.3173,0.3465,0.3925432,51408,45220,25,64.26343164156881,True,0.7120609230860941
18,VND,Securities,2026-09-23,14800,0.4012,0.4609,0.4872,0.3768,0.3552,0.32609707,15984,14060,25,37.20534372573693,False,0.39264897608993676
19,SSI,Securities,2026-09-23,21100,0.4004,0.5067,0.4857,0.3449,0.3731,0.2916377,22788,20045,25,55.733219093722425,True,0.3306984754996032
20,HDB,Bank,2026-09-23,28150,0.3987,0.4748,0.48,0.3403,0.3458,0.35240066,30402,26742,25,64.413540044008,True,1.288752620737072
21,VHM,RealEstate,2026-09-23,69300,0.3952,0.4959,0.4403,0.2884,0.2403,0.5111862,74844,65835,25,41.5582610418161,False,0.2813084982056241
22,STB,Bank,2026-09-23,77600,0.3921,0.4623,0.526,0.3465,0.325,0.30048913,83808,73720,25,58.18919554230889,True,0.19761132139444101
23,POW,Utilities,2026-09-23,12850,0.3891,0.4406,0.4431,0.2967,0.2772,0.48767233,13878,12208,25,46.32759534206831,False,0.2145181928259208
24,TPB,Bank,2026-09-23,14600,0.388,0.4882,0.4769,0.3609,0.3653,0.24845277,15768,13870,25,55.17255778876956,True,2.2552917224254267
25,VPB,Bank,2026-09-23,27950,0.3852,0.4672,0.4782,0.3241,0.2935,0.3632335,30186,26552,25,58.17163919747989,True,0.4367868009938944
26,DCM,Materials,2026-09-23,33850,0.384,0.5113,0.4775,0.2918,0.2438,0.3958494,36558,32158,25,62.1880384049752,True,0.20077066530891388
27,NLG,RealEstate,2026-09-23,23650,0.3782,0.4925,0.4368,0.3287,0.3547,0.27805966,25542,22467,25,45.7274453751549,True,0.34702171179388097
28,TCB,Bank,2026-09-23,33400,0.3714,0.5008,0.4828,0.3345,0.3196,0.21921378,36072,31730,25,59.95859116348622,True,1.6884545502219508
29,CTG,Bank,2026-09-23,30900,0.3704,0.4526,0.4527,0.3176,0.3301,0.2989562,33372,29355,25,48.37542194652357,False,0.36931793610420477
30,DGC,Materials,2026-09-23,35500,0.3688,0.514,0.4845,0.3361,0.3096,0.1998777,38340,33725,25,34.02344468454969,False,0.21311574560270077
31,DXG,RealEstate,2026-09-23,10550,0.359,0.4977,0.4947,0.3441,0.321,0.13754958,11394,10022,25,37.50970711372512,False,0.14279769369532225
32,DPM,Materials,2026-09-23,22850,0.3551,0.4657,0.4757,0.3072,0.2909,0.23587984,24678,21708,25,55.17670131569355,True,0.22172347870806175
33,VCB,Bank,2026-09-23,59100,0.3544,0.4424,0.4682,0.3116,0.337,0.2129238,63828,56145,25,50.79897489028137,True,0.2888590265490213
34,FPT,Technology,2026-09-23,66700,0.3384,0.4666,0.4126,0.2288,0.1694,0.41449058,72036,63365,25,39.04338490728614,False,0.3056090447607567
35,MBB,Bank,2026-09-23,20150,0.3133,0.4372,0.434,0.2599,0.2558,0.17977232,21762,19142,25,49.6115702640601,True,0.36845271911968486
36,ACB,Bank,2026-09-23,22000,0.3108,0.4232,0.3871,0.2473,0.2515,0.24494846,23760,20900,25,45.92384376506935,False,0.7919684692637927
37,HPG,Materials,2026-09-23,21150,0.2809,0.4177,0.3856,0.2369,0.2093,0.15481783,22842,20092,25,44.634973661814286,False,0.27232439167737826
38,HSG,Materials,2026-09-23,10100,0.2221,0.3796,0.3563,0.1759,0.1368,0.061863065,10908,9595,25,34.16176620763359,False,0.3022871108549718
