model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.549,0.6076,0.4097,675,0.4237,0.004,-0.053,2.6706,0.062,-2.6499,0.079,6.5
XGBoost,0.5351,0.6011,0.3933,681,0.4126,0.003,-0.053,2.0144,0.047,-2.0816,0.059,6.8
RandomForest,0.5389,0.6019,0.3953,639,0.4069,0.0008,-0.053,0.524,0.013,-3.8167,0.016,5.9
LSTM,0.519,0.5888,0.3626,542,0.3838,0.0008,-0.053,0.4405,0.013,-3.4913,0.016,8.3
GradBoost,0.5385,0.5922,0.3711,671,0.392,-0.0002,-0.053,-0.1078,-0.003,-4.2891,-0.003,6.5
