rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-17,36600,0.6172,0.6008,0.581,0.5041,0.5318,0.8683719,39528,34770,25,41.90995178841222,False,0.1927229961935731
2,VRE,RealEstate,2026-09-17,25900,0.5678,0.5247,0.5329,0.4219,0.4596,0.90003955,27972,24605,25,52.73760375509642,True,0.4088412806892499
3,VIC,RealEstate,2026-09-17,242400,0.5656,0.6105,0.5836,0.4258,0.4305,0.777743,261792,230280,25,60.88105345424899,True,0.14155898497017164
4,GVR,Materials,2026-09-17,32400,0.5276,0.5426,0.5176,0.3658,0.39,0.8221366,34992,30780,25,57.3823953987851,True,0.43982944302904925
5,GAS,Energy,2026-09-17,88600,0.4898,0.5507,0.5071,0.3501,0.331,0.7099373,95688,84170,25,62.75109242348633,True,0.44686696122820146
6,FRT,Retail/Consumer,2026-09-17,132200,0.4807,0.521,0.505,0.3418,0.3561,0.67964244,142776,125590,25,44.47748866151398,True,0.4477359765712998
7,FPT,Technology,2026-09-17,73600,0.4677,0.4835,0.4818,0.3317,0.3336,0.70791304,79488,69920,25,58.56003625027011,True,0.34187404378706837
8,SSI,Securities,2026-09-17,21450,0.4653,0.5335,0.4907,0.3509,0.3519,0.5993938,23166,20377,25,60.68868865707279,True,1.4700817541773705
9,PDR,RealEstate,2026-09-17,11700,0.4648,0.4869,0.5282,0.4002,0.4499,0.45871845,12636,11115,25,38.98223533154355,False,0.5551396461752164
10,NLG,RealEstate,2026-09-17,24050,0.4641,0.5173,0.4896,0.3816,0.4453,0.48653552,25974,22848,25,49.91121202163742,True,0.3253562850088488
11,KDH,RealEstate,2026-09-17,15900,0.4566,0.506,0.4969,0.3756,0.3945,0.5099741,17172,15105,25,33.80583109704082,False,0.8093424392348885
12,PLX,Energy,2026-09-17,37650,0.4496,0.5574,0.532,0.4004,0.4041,0.35387716,40662,35768,25,59.26017475209038,True,0.46680744460764645
13,VCI,Securities,2026-09-17,20450,0.4428,0.5239,0.5128,0.4216,0.4102,0.34559557,22086,19428,25,43.28896127092194,False,1.1529898477984553
14,VHM,RealEstate,2026-09-17,71500,0.4372,0.4791,0.5351,0.3576,0.365,0.44925675,77220,67925,25,47.26686345711566,False,0.3706804283809335
15,DXG,RealEstate,2026-09-17,10850,0.4344,0.538,0.5387,0.4387,0.4577,0.19895454,11718,10308,25,42.08242822442437,False,1.1604414927284301
16,VPB,Bank,2026-09-17,28100,0.4333,0.4981,0.4952,0.3243,0.3432,0.5057792,30348,26695,25,64.44419002976282,True,0.9494538217119585
17,MWG,Retail/Consumer,2026-09-17,72700,0.4186,0.4734,0.4731,0.3405,0.3584,0.44777882,78516,69065,25,50.43924305562239,True,0.5863997837855546
18,HCM,Securities,2026-09-17,25550,0.417,0.4655,0.483,0.3595,0.3657,0.41124648,27594,24272,25,48.9129295160463,True,0.7178516141112433
19,VND,Securities,2026-09-17,15100,0.4131,0.4717,0.4619,0.3421,0.3483,0.44158992,16308,14345,25,38.246381594275206,False,0.7977064892125474
