model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5479,0.6067,0.4085,668,0.4207,0.0036,-0.053,2.3916,0.056,-2.6499,0.072,6.5
LSTM,0.5185,0.5886,0.3635,539,0.3989,0.003,-0.053,1.5933,0.047,-3.1461,0.059,8.5
XGBoost,0.5341,0.6002,0.3923,676,0.4127,0.003,-0.053,2.0194,0.047,-2.0816,0.06,6.8
RandomForest,0.538,0.601,0.3943,635,0.4031,0.0005,-0.053,0.3127,0.008,-3.9227,0.01,6.0
GradBoost,0.5369,0.591,0.3694,668,0.3907,-0.0003,-0.053,-0.2088,-0.005,-4.3421,-0.006,6.5
