model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5479,0.606,0.4081,663,0.4208,0.0036,-0.053,2.3966,0.057,-2.6499,0.072,6.5
XGBoost,0.5337,0.5995,0.3917,670,0.4149,0.0033,-0.053,2.2074,0.052,-2.0816,0.066,6.8
RandomForest,0.5378,0.6,0.3931,633,0.4028,0.0005,-0.053,0.2887,0.007,-3.9227,0.009,6.0
LSTM,0.5177,0.5871,0.3608,542,0.3764,-0.0002,-0.053,-0.1227,-0.004,-3.7579,-0.005,8.2
GradBoost,0.5363,0.5896,0.3671,665,0.391,-0.0004,-0.053,-0.2472,-0.006,-4.3855,-0.007,6.5
