rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-15,36750,0.583,0.5887,0.5873,0.4918,0.425,0.8222334,39690,34912,25,42.010235968922245,False,0.3310286681040646
2,VIC,RealEstate,2026-09-15,241500,0.5772,0.6241,0.5824,0.4533,0.442,0.7839919,260820,229425,25,60.24098791758083,True,0.10056121538284912
3,VRE,RealEstate,2026-09-15,25600,0.556,0.5137,0.5298,0.4141,0.4404,0.881978,27648,24320,25,49.78779737521565,True,0.2273810372582939
4,GVR,Materials,2026-09-15,30350,0.5407,0.5154,0.4896,0.4161,0.4865,0.79574007,32778,28832,25,43.93240481781696,True,0.14733933791071813
5,GAS,Energy,2026-09-15,88700,0.5145,0.5657,0.5109,0.3552,0.3335,0.80717975,95796,84265,25,67.12004979639332,True,0.7621768113950035
6,FRT,Retail/Consumer,2026-09-15,134000,0.4778,0.5138,0.4792,0.325,0.3717,0.6993372,144720,127300,25,44.79064676717888,True,0.11775666107695174
7,PLX,Energy,2026-09-15,36350,0.4681,0.55,0.5544,0.4376,0.4721,0.326478,39258,34532,25,53.66630154621885,True,0.87308394053151
8,SSI,Securities,2026-09-15,20500,0.4648,0.4801,0.4836,0.3484,0.3526,0.65913427,22140,19475,25,50.18008235722238,True,0.4040064666110088
9,FPT,Technology,2026-09-15,72900,0.4583,0.4742,0.4845,0.313,0.3173,0.70258516,78732,69255,25,56.33343398091364,True,0.3104518671695343
10,PDR,RealEstate,2026-09-15,11500,0.4411,0.4392,0.4621,0.3332,0.3242,0.64690495,12420,10925,25,32.35316123614386,False,0.21961473043645965
11,NLG,RealEstate,2026-09-15,23750,0.4369,0.5006,0.4991,0.3739,0.3802,0.43073642,25650,22562,25,46.7595744670433,True,0.2039931796930862
12,VHM,RealEstate,2026-09-15,71600,0.4314,0.4786,0.529,0.3599,0.3585,0.43112355,77328,68020,25,47.212819761387564,False,0.36560504895408397
13,VPB,Bank,2026-09-15,27600,0.4077,0.4834,0.4868,0.339,0.3217,0.4074961,29808,26220,25,60.680943008534456,True,0.8274735266326705
14,DGC,Materials,2026-09-15,36700,0.4023,0.585,0.461,0.3602,0.3003,0.30522552,39636,34865,25,33.166969455504514,False,0.5897288676236044
15,DPM,Materials,2026-09-15,22250,0.4019,0.4653,0.4708,0.3207,0.2732,0.47970507,24030,21138,25,50.16139327412933,True,0.24595296196139618
16,VND,Securities,2026-09-15,14850,0.399,0.4352,0.4667,0.3465,0.3211,0.42528185,16038,14107,25,31.55639312898353,False,0.7077352192708601
17,DCM,Materials,2026-09-15,32750,0.3979,0.5121,0.4811,0.2996,0.2731,0.42373657,35370,31112,25,58.761887523602006,True,0.21574666511063867
18,BID,Bank,2026-09-15,36500,0.3955,0.4635,0.4776,0.3495,0.3765,0.3103736,39420,34675,25,52.76619116654542,True,0.6395332019649975
19,KDH,RealEstate,2026-09-15,15750,0.395,0.4459,0.4779,0.3192,0.3826,0.3493257,17010,14962,25,26.827383498740076,False,0.2953065484689671
20,STB,Bank,2026-09-15,76600,0.3864,0.4688,0.4871,0.3244,0.2947,0.35701132,82728,72770,25,56.48496740151135,True,0.14573563747342624
21,HDB,Bank,2026-09-15,26950,0.3861,0.4176,0.4517,0.3136,0.2952,0.45221767,29106,25602,25,49.0234273357085,True,0.44146789338777936
22,VCI,Securities,2026-09-15,20000,0.3853,0.4726,0.4548,0.3392,0.3174,0.34249002,21600,19000,25,35.826265236844165,False,0.270277407557312
