model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5482,0.6057,0.4077,663,0.4208,0.0037,-0.053,2.4378,0.058,-2.7029,0.074,6.5
XGBoost,0.5335,0.5988,0.3906,668,0.4132,0.0031,-0.053,2.0534,0.049,-2.1346,0.061,6.8
LSTM,0.5187,0.5881,0.3638,530,0.3962,0.0022,-0.053,1.1455,0.035,-3.2948,0.043,8.3
RandomForest,0.5377,0.5996,0.3926,634,0.4022,0.0004,-0.053,0.2275,0.006,-4.0068,0.007,5.9
GradBoost,0.5358,0.5893,0.3668,667,0.3898,-0.0006,-0.053,-0.3743,-0.009,-4.5445,-0.011,6.5
