rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-10,38050,0.6336,0.5715,0.6304,0.5405,0.5884,0.8373733,41094,36147,25,44.69810727439905,False,0.13647794039518785
2,VIC,RealEstate,2026-09-10,249200,0.6139,0.6745,0.6262,0.4963,0.504,0.76830447,269136,236740,25,67.15817573491793,True,0.09878437476230163
3,GVR,Materials,2026-09-10,31600,0.5574,0.5303,0.4995,0.4201,0.4504,0.88694847,34128,30020,25,51.87885816318627,True,0.22991392121588855
4,PDR,RealEstate,2026-09-10,11900,0.5445,0.4634,0.5529,0.4058,0.4662,0.8339909,12852,11305,25,39.55471746204821,False,0.3295941486358058
5,VRE,RealEstate,2026-09-10,26150,0.5439,0.5413,0.529,0.3958,0.4041,0.84927875,28242,24842,25,55.527459227077394,True,0.3795458082412697
6,GAS,Energy,2026-09-10,86200,0.5083,0.5817,0.5173,0.3782,0.3772,0.68730825,93096,81890,25,66.13688335030253,True,0.31113277679605145
7,FPT,Technology,2026-09-10,73600,0.4939,0.5145,0.4852,0.3583,0.3744,0.73703796,79488,69920,25,61.76498893580787,True,0.9300400811547417
8,DXG,RealEstate,2026-09-10,11200,0.48,0.5092,0.5462,0.4547,0.4179,0.4718443,12096,10640,25,44.65359931604888,False,0.2956550325014394
9,FRT,Retail/Consumer,2026-09-10,141900,0.4729,0.5041,0.4939,0.3156,0.318,0.7330286,153252,134805,25,55.68478340659995,True,0.2954579491238955
10,DGC,Materials,2026-09-10,46450,0.4686,0.5568,0.5416,0.3847,0.4451,0.41463408,50166,44128,25,60.05717918359122,True,0.31023149471277506
11,BID,Bank,2026-09-10,36250,0.4649,0.4499,0.445,0.2983,0.3191,0.81198853,39150,34438,25,49.201576628452806,False,0.29184740672687726
12,SSI,Securities,2026-09-10,20850,0.4642,0.4881,0.4921,0.3123,0.3078,0.7206552,22518,19808,25,54.95486288707797,True,0.24569324525797823
13,VHM,RealEstate,2026-09-10,71100,0.4572,0.4811,0.5341,0.387,0.3931,0.49073234,76788,67545,25,45.854485957338525,False,1.3007265856552164
14,PLX,Energy,2026-09-10,35750,0.4496,0.5231,0.5404,0.4112,0.4456,0.32777163,38610,33962,25,48.56614193678077,True,0.35639777056445465
15,MWG,Retail/Consumer,2026-09-10,72500,0.4362,0.4563,0.4317,0.3056,0.3192,0.6682979,78300,68875,25,47.66343486907136,False,0.4191443247405902
16,HDB,Bank,2026-09-10,27150,0.4289,0.4305,0.4704,0.318,0.3198,0.6056816,29322,25792,25,51.83278381470177,True,0.4302355593739865
17,STB,Bank,2026-09-10,78600,0.4241,0.486,0.5295,0.3775,0.3617,0.3657869,84888,74670,25,64.875609670566,True,0.4907114100735767
18,TCB,Bank,2026-09-10,32300,0.4121,0.4764,0.4791,0.298,0.29,0.5168225,34884,30685,25,54.065357632322794,True,0.12983108058455525
19,VCI,Securities,2026-09-10,21050,0.4098,0.4799,0.4268,0.3035,0.2457,0.5931175,22734,19998,25,40.73331925695001,False,0.25967177443304346
20,DPM,Materials,2026-09-10,22800,0.4089,0.482,0.4841,0.3298,0.3145,0.43419304,24624,21660,25,56.865199904010325,True,0.4946190706714006
21,KDH,RealEstate,2026-09-10,16900,0.3956,0.466,0.4743,0.3521,0.3504,0.335409,18252,16055,25,35.42590815689189,False,0.26104704622034663
