model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5484,0.6062,0.4058,652,0.4141,0.0028,-0.053,1.8109,0.044,-2.7559,0.056,6.5
XGBoost,0.533,0.5996,0.3892,660,0.4091,0.0024,-0.053,1.5783,0.038,-2.1346,0.048,6.8
LSTM,0.5187,0.5886,0.3619,524,0.395,0.0019,-0.053,0.9933,0.03,-3.2471,0.038,8.3
RandomForest,0.537,0.6004,0.3913,624,0.3958,-0.0005,-0.053,-0.2893,-0.007,-3.9298,-0.009,5.9
GradBoost,0.5348,0.5892,0.3632,654,0.3838,-0.0015,-0.053,-0.9533,-0.023,-4.5445,-0.029,6.4
