rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-07,38550,0.6558,0.6522,0.6561,0.5511,0.5772,0.8422412,41634,36622,25,46.04492873417266,False,0.4817183788737399
2,VIC,RealEstate,2026-09-07,249400,0.6474,0.7084,0.6439,0.5178,0.5713,0.7956947,269352,236930,25,70.20556491753304,True,0.21313286024032504
3,PDR,RealEstate,2026-09-07,12000,0.5906,0.5042,0.6083,0.4659,0.4919,0.8827172,12960,11400,25,41.614157747683166,False,0.2688923834021769
4,VRE,RealEstate,2026-09-07,27100,0.5469,0.6046,0.5188,0.4011,0.4211,0.78880966,29268,25745,25,65.59013812429582,True,1.2449622361514099
5,GVR,Materials,2026-09-07,31850,0.5435,0.5172,0.5359,0.3771,0.4041,0.883284,34398,30258,25,53.905422092958496,True,0.23742781598604148
6,KDH,RealEstate,2026-09-07,17250,0.5052,0.5148,0.5338,0.411,0.4459,0.62055594,18630,16388,25,38.70358699647594,False,0.4308521210046066
7,GAS,Energy,2026-09-07,83800,0.5005,0.5624,0.5398,0.4171,0.4311,0.55196035,90504,79610,25,62.235200832806115,True,0.2772720989803751
8,VCI,Securities,2026-09-07,21700,0.4986,0.517,0.4926,0.3551,0.3641,0.7642202,23436,20615,25,46.8544717633058,False,0.5968565367650649
9,BID,Bank,2026-09-07,36350,0.4921,0.4599,0.4573,0.3239,0.3525,0.8666662,39258,34532,25,50.062723408229324,False,0.3269044377488385
10,SSI,Securities,2026-09-07,20900,0.4899,0.521,0.5053,0.3487,0.3737,0.7005886,22572,19855,25,56.18475324338385,True,0.3158593534283008
11,PLX,Energy,2026-09-07,35600,0.4887,0.5115,0.5624,0.4169,0.4458,0.506834,38448,33820,25,47.055329671922145,True,0.3982416286368073
12,FPT,Technology,2026-09-07,72800,0.4878,0.5162,0.4852,0.3496,0.3539,0.73431486,78624,69160,25,59.4108046258795,True,0.7838834386510709
13,DGC,Materials,2026-09-07,47450,0.4872,0.5851,0.5618,0.4168,0.4131,0.4592326,51246,45078,25,65.72470314196309,True,1.6490709302584754
14,DXG,RealEstate,2026-09-07,11550,0.4828,0.5474,0.5581,0.457,0.468,0.38326147,12474,10972,25,51.02456546616294,True,0.3371806320237383
15,MBB,Bank,2026-09-07,20350,0.4734,0.4464,0.4651,0.2976,0.2737,0.88417214,21978,19332,25,51.27377282104401,True,0.4188167647386388
16,VHM,RealEstate,2026-09-07,75800,0.4697,0.5693,0.5413,0.4133,0.4414,0.38298994,81864,72010,25,61.292982530564366,True,1.0217642159900184
17,VND,Securities,2026-09-07,16200,0.4594,0.4887,0.4435,0.3053,0.3057,0.75355816,17496,15390,25,43.01592971312854,False,0.3473567805114216
18,MWG,Retail/Consumer,2026-09-07,72300,0.4529,0.4594,0.4241,0.2712,0.2642,0.8457344,78084,68685,25,46.0977313878649,False,0.30337705383545294
19,FRT,Retail/Consumer,2026-09-07,139900,0.4433,0.5023,0.4979,0.307,0.2918,0.6176414,151092,132905,25,53.28836248500084,True,0.2245468751555206
20,HDB,Bank,2026-09-07,27350,0.4378,0.4526,0.4756,0.3233,0.3045,0.63287675,29538,25982,25,55.531076220895066,True,0.4816076151910297
21,VPB,Bank,2026-09-07,27650,0.4077,0.5204,0.4889,0.3314,0.2999,0.39801005,29862,26268,25,63.970063208694825,True,0.47347097206527977
22,DPM,Materials,2026-09-07,22500,0.4,0.4784,0.4835,0.34,0.3078,0.39023444,24300,21375,25,54.45082765626073,True,0.5063375196102031
23,TCB,Bank,2026-09-07,32350,0.396,0.4773,0.4957,0.3119,0.3037,0.39128497,34938,30732,25,54.64035482426005,True,0.2014322689998292
24,STB,Bank,2026-09-07,77300,0.395,0.4744,0.5147,0.3473,0.3039,0.33477515,83484,73435,25,62.776437077467314,True,0.2739657480265709
25,VNM,Retail/Consumer,2026-09-07,60900,0.3925,0.421,0.4481,0.276,0.2691,0.5484838,65772,57855,25,47.521209110973324,True,0.35962206702215516
26,HCM,Securities,2026-09-07,26750,0.385,0.5176,0.5015,0.3597,0.3519,0.19408119,28890,25412,25,62.342430183984064,True,1.0537007104995253
27,DCM,Materials,2026-09-07,32050,0.384,0.4928,0.4882,0.3366,0.3072,0.29525775,34614,30447,25,54.84131295550092,True,0.41417545803611966
28,NLG,RealEstate,2026-09-07,25300,0.371,0.546,0.5115,0.3396,0.2949,0.16314031,27324,24035,25,63.390072891430556,True,0.3920235104893716
29,MSN,Retail/Consumer,2026-09-07,68500,0.3648,0.4544,0.4738,0.3371,0.3282,0.23044229,73980,65075,25,50.37046258441468,True,0.41484118291347205
30,HPG,Materials,2026-09-07,21900,0.3558,0.4542,0.4544,0.3136,0.3244,0.23240581,23652,20805,25,50.89736869729825,False,0.4911243464832828
31,VCB,Bank,2026-09-07,58300,0.3392,0.4501,0.425,0.3153,0.3171,0.18860896,62964,55385,25,46.090703173713024,False,0.4429449944763253
32,POW,Utilities,2026-09-07,12850,0.3364,0.3836,0.3619,0.2386,0.2109,0.48701006,13878,12208,25,33.638017626848566,False,0.4498719950904736
33,REE,Utilities,2026-09-07,45700,0.3362,0.4309,0.3863,0.2313,0.2064,0.4262705,49356,43415,25,45.779421123136785,False,0.25537682348325424
34,TPB,Bank,2026-09-07,14700,0.3291,0.439,0.4377,0.3009,0.3132,0.15473174,15876,13965,25,50.97505851794791,False,0.496020474145702
35,SAB,Retail/Consumer,2026-09-07,45000,0.3187,0.4124,0.3892,0.2307,0.1942,0.36681408,48600,42750,25,46.93631099805262,True,0.1904394649995764
36,CTG,Bank,2026-09-07,31200,0.3172,0.4458,0.3862,0.2446,0.2365,0.27280298,33696,29640,25,44.957539707020736,False,0.3396570991844053
37,HSG,Materials,2026-09-07,10650,0.3172,0.4565,0.4179,0.3026,0.2962,0.11297371,11502,10118,25,44.663605022836165,False,0.49601240152874193
38,ACB,Bank,2026-09-07,22200,0.3067,0.4161,0.4132,0.2171,0.2391,0.24782944,23976,21090,25,47.726681030148065,False,0.18365353226517891
