rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,VIC,RealEstate,2026-09-14,238100,0.5776,0.6197,0.5893,0.4435,0.4283,0.8072229,257148,226195,25,57.207104881241015,True,0.18908252508044046
2,PNJ,Retail/Consumer,2026-09-14,36550,0.5704,0.5623,0.5546,0.4648,0.4546,0.8154891,39474,34722,25,40.184567762399105,False,0.49074942124093596
3,VRE,RealEstate,2026-09-14,25350,0.5474,0.5155,0.5209,0.4082,0.4111,0.8815401,27378,24082,25,47.70158274598206,True,0.3904018739585527
4,GVR,Materials,2026-09-14,30550,0.5433,0.5199,0.5031,0.4039,0.4529,0.8365097,32994,29022,25,45.11191164754504,True,0.33862960961772254
5,GAS,Energy,2026-09-14,85200,0.5352,0.5663,0.5107,0.3795,0.366,0.8535574,92016,80940,25,60.712830949322374,True,0.6153435040326499
6,PDR,RealEstate,2026-09-14,11650,0.4908,0.452,0.4868,0.3708,0.383,0.761398,12582,11067,25,34.79083339023393,False,0.3612417723231696
7,FRT,Retail/Consumer,2026-09-14,135800,0.4677,0.519,0.4677,0.3002,0.3269,0.724581,146664,129010,25,46.757108397410946,True,0.19776889515897275
8,SSI,Securities,2026-09-14,20300,0.4635,0.4658,0.4728,0.3482,0.3297,0.7008518,21924,19285,25,47.44562507200391,True,0.38369976639379005
9,NLG,RealEstate,2026-09-14,24000,0.448,0.5126,0.5046,0.4058,0.4357,0.38138592,25920,22800,25,48.82711601424698,True,0.684209245365259
10,FPT,Technology,2026-09-14,72800,0.4452,0.477,0.4868,0.3127,0.2753,0.6744106,78624,69160,25,56.1526843321808,True,0.28811254939932773
11,VHM,RealEstate,2026-09-14,72800,0.4449,0.4903,0.5415,0.3821,0.3714,0.4394072,78624,69160,25,51.14708010341385,True,0.5697517489522865
12,DGC,Materials,2026-09-14,37600,0.4422,0.5852,0.4894,0.4195,0.415,0.30172235,40608,35720,25,34.867440798194636,False,0.7504997274214065
13,PLX,Energy,2026-09-14,35400,0.4393,0.5147,0.5265,0.3995,0.4553,0.3002901,38232,33630,25,46.52296967131532,True,0.5138381932696461
14,DPM,Materials,2026-09-14,22400,0.4174,0.467,0.4825,0.3384,0.3146,0.4846756,24192,21280,25,51.84344919974075,True,0.3575472628179365
15,DXG,RealEstate,2026-09-14,10850,0.4042,0.5024,0.5027,0.3929,0.378,0.24495235,11718,10308,25,39.86332304961663,False,0.32436278966110815
16,KDH,RealEstate,2026-09-14,16000,0.3992,0.4525,0.4672,0.3632,0.3737,0.3395515,17280,15200,25,27.845127309190303,False,0.4619775307148535
17,HDB,Bank,2026-09-14,26900,0.3981,0.4193,0.4557,0.3075,0.2942,0.5139836,29052,25555,25,48.13531300627455,True,0.41174423214227507
18,STB,Bank,2026-09-14,76900,0.394,0.4753,0.4887,0.3318,0.3131,0.3613264,83052,73055,25,57.990579706004226,True,0.21344352927902516
19,DCM,Materials,2026-09-14,32450,0.3901,0.4966,0.4834,0.3068,0.2727,0.390905,35046,30828,25,56.33547337365198,True,0.2713177635994461
20,VPB,Bank,2026-09-14,27200,0.3865,0.4779,0.4851,0.3221,0.3252,0.32216594,29376,25840,25,57.28341415827844,True,0.5333447162623305
21,VCI,Securities,2026-09-14,20000,0.3806,0.4661,0.4465,0.3422,0.2893,0.35906264,21600,19000,25,33.27671673215106,False,0.5866096987271047
22,TCB,Bank,2026-09-14,31950,0.3637,0.4538,0.4693,0.2863,0.2522,0.3567359,34506,30352,25,51.4286368806952,True,0.2769398137940489
23,VND,Securities,2026-09-14,15050,0.3502,0.4205,0.4462,0.3213,0.2934,0.26956335,16254,14298,25,30.30623680298686,False,0.6134197199880846
24,VNM,Retail/Consumer,2026-09-14,59600,0.3485,0.4051,0.3525,0.2221,0.2023,0.56045496,64368,56620,25,40.84399271353758,False,0.3248543577320182
25,BID,Bank,2026-09-14,35700,0.3412,0.4397,0.3678,0.2719,0.2685,0.3581907,38556,33915,25,43.490661084944314,False,0.605612769735047
26,VCB,Bank,2026-09-14,58500,0.3289,0.4273,0.4443,0.3166,0.3427,0.113709524,63180,55575,25,48.23153917053806,False,0.40516979509958445
27,HCM,Securities,2026-09-14,25350,0.3147,0.4234,0.4404,0.2842,0.2458,0.17945452,27378,24082,25,43.77864578852192,False,0.22860026753286547
28,MWG,Retail/Consumer,2026-09-14,70700,0.3111,0.4431,0.3468,0.2299,0.1839,0.35163385,76356,67165,25,41.94432636776678,False,0.35729414448173613
29,HPG,Materials,2026-09-14,21200,0.3069,0.4149,0.3725,0.2544,0.2413,0.2512396,22896,20140,25,41.872618104290375,False,0.4287759914646323
30,MSN,Retail/Consumer,2026-09-14,66500,0.3064,0.3951,0.3538,0.2081,0.1823,0.392872,71820,63175,25,39.27307466180689,False,0.28950018143325057
31,POW,Utilities,2026-09-14,12500,0.3022,0.3688,0.3822,0.273,0.2585,0.22867545,13500,11875,25,29.64678442909802,False,0.5950940223281765
32,MBB,Bank,2026-09-14,19900,0.3002,0.4039,0.3315,0.2115,0.1856,0.36864743,21492,18905,25,44.271791874731704,False,0.4870948410065428
33,ACB,Bank,2026-09-14,22100,0.2948,0.3909,0.3881,0.1934,0.2032,0.29844147,23868,20995,25,45.92730757310899,False,0.24468312113237073
34,SAB,Retail/Consumer,2026-09-14,44350,0.2636,0.4115,0.3329,0.1898,0.1533,0.23031408,47898,42132,25,43.74839841301351,False,0.2352038859772466
35,CTG,Bank,2026-09-14,30000,0.2559,0.3886,0.3497,0.2418,0.2071,0.0920707,32400,28500,25,34.47627644231102,False,0.4400998955473387
36,HSG,Materials,2026-09-14,10200,0.2482,0.3941,0.3833,0.2128,0.1991,0.051456716,11016,9690,25,32.69403160325156,False,0.3296892605387889
37,TPB,Bank,2026-09-14,14150,0.2355,0.4113,0.3267,0.1769,0.1488,0.11396075,15282,13442,25,38.068425243862094,False,0.5407172320756838
38,REE,Utilities,2026-09-14,45100,0.2325,0.4079,0.3217,0.1538,0.1355,0.14347194,48708,42845,25,41.44879054353953,False,0.30372256759793276
