model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5481,0.6061,0.4083,662,0.4215,0.0037,-0.053,2.4496,0.058,-2.6499,0.074,6.5
XGBoost,0.5338,0.5995,0.3917,670,0.4149,0.0033,-0.053,2.2074,0.052,-2.1346,0.066,6.8
LSTM,0.5185,0.5884,0.3639,531,0.3955,0.002,-0.053,1.0796,0.033,-3.2948,0.041,8.3
RandomForest,0.5379,0.6,0.393,638,0.4028,0.0004,-0.053,0.2837,0.007,-4.0817,0.009,5.9
GradBoost,0.5363,0.5896,0.3669,666,0.3919,-0.0003,-0.053,-0.1702,-0.004,-4.3855,-0.005,6.5
