model,auc,test_acc,signal_precision,n_trades,win_rate,avg_net_ret,median_net_ret,total_pnl_fixed,sharpe_per_trade,max_dd_fixed,expectancy_R,avg_hold_days
LogReg,0.5479,0.6071,0.4089,670,0.4224,0.0038,-0.053,2.5456,0.06,-2.6499,0.076,6.5
XGBoost,0.5342,0.6004,0.3921,677,0.4121,0.0029,-0.053,1.9664,0.046,-2.0816,0.058,6.8
LSTM,0.5189,0.5893,0.3643,539,0.397,0.0025,-0.053,1.3663,0.041,-3.1941,0.051,8.5
RandomForest,0.538,0.6012,0.394,635,0.4047,0.0007,-0.053,0.4427,0.011,-3.8697,0.014,6.0
GradBoost,0.5371,0.5915,0.3699,668,0.3907,-0.0003,-0.053,-0.2088,-0.005,-4.2891,-0.006,6.5
