rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,PNJ,Retail/Consumer,2026-09-18,37250,0.6303,0.6061,0.6062,0.5237,0.5392,0.876326,40230,35387,25,44.61213826136006,False,0.7224144312919722
2,VIC,RealEstate,2026-09-18,242600,0.558,0.6033,0.5784,0.4328,0.4322,0.7432346,262008,230470,25,61.10972274863224,True,0.11600998019212047
3,VRE,RealEstate,2026-09-18,26150,0.5428,0.5197,0.5279,0.3781,0.3839,0.90461236,28242,24842,25,55.158365343657444,True,0.30146121939978854
4,GVR,Materials,2026-09-18,32150,0.5278,0.5325,0.5118,0.3825,0.3864,0.8259353,34722,30542,25,55.87661415582233,True,0.23182010169248984
5,GAS,Energy,2026-09-18,87800,0.503,0.5517,0.5073,0.3605,0.3371,0.7582635,94824,83410,25,60.513640992703095,True,0.2923280872905265
6,FRT,Retail/Consumer,2026-09-18,132600,0.4792,0.5058,0.5036,0.3435,0.395,0.64800704,143208,125970,25,45.34787498584828,True,0.21597420699170738
7,PLX,Energy,2026-09-18,37300,0.4652,0.557,0.5436,0.4231,0.4594,0.34291443,40284,35435,25,56.641677163404744,True,0.3969874657885899
8,KDH,RealEstate,2026-09-18,15900,0.457,0.4941,0.4967,0.3777,0.383,0.5336036,17172,15105,25,34.148337466866295,False,0.3918423306272144
9,FPT,Technology,2026-09-18,74500,0.4478,0.4931,0.4838,0.3214,0.3247,0.6161578,80460,70775,25,61.97661742649813,True,0.5862609005789512
10,VCI,Securities,2026-09-18,20850,0.4473,0.5153,0.5348,0.434,0.4156,0.33658323,22518,19808,25,47.14199675981974,False,0.5551202317687147
11,VHM,RealEstate,2026-09-18,72600,0.4461,0.4872,0.5331,0.363,0.3664,0.4809032,78408,68970,25,51.64878841131762,True,0.39813861678260604
12,SSI,Securities,2026-09-18,21600,0.44,0.5175,0.485,0.3343,0.329,0.5340836,23328,20520,25,62.25917618010002,True,0.7948026144486325
13,VPB,Bank,2026-09-18,28900,0.4312,0.5022,0.5027,0.3283,0.3445,0.4780827,31212,27455,25,69.69688728489166,True,0.9307685038344587
14,BID,Bank,2026-09-18,37700,0.4243,0.4935,0.4853,0.3489,0.3594,0.4345577,40716,35815,25,61.92272805461718,True,1.4652406468500072
15,HDB,Bank,2026-09-18,28000,0.4198,0.4693,0.4783,0.3369,0.3382,0.47605425,30240,26600,25,62.74810561394508,True,1.305119468405733
16,DCM,Materials,2026-09-18,32800,0.4124,0.4844,0.4821,0.3183,0.3098,0.46718928,35424,31160,25,55.73853582301795,True,0.3642168873737631
